-600864.983246468	-1146881.299298551	-600465.4736264534	-1144765.760369733	2.174716288819516	0
-598905.6856123284	-1141027.1924911402	-597064.441496592	-1135893.4149181806	5.801223147252566	1
-600425.7018450944	-1144292.6415744536	-598905.6856123284	-1141027.1924911402	3.831619636390453	2
-600452.0128138103	-1144435.5039546713	-600425.7018450944	-1144292.6415744536	0.145265022480439	3
-600465.4736264534	-1144765.760369733	-600452.0128138103	-1144435.5039546713	0.330530623643845	4
-593066.9681537859	-1144045.6366665326	-593689.3393080942	-1142695.378245823	1.489644952869032	5
-593689.3393080942	-1142695.378245823	-593874.7822803482	-1137813.5984011143	4.949553339273546	6
-593689.3393080942	-1142695.378245823	-586982.4031884484	-1137502.1722807996	10.659505798721774	7
-609489.866277881	-1142788.9745930955	-609203.1129880808	-1142348.9288669266	0.525231082791867	8
-609203.1129880808	-1142348.9288669266	-604767.5194867365	-1138204.8319394737	6.278873267456034	9
-598905.6856123284	-1141027.1924911402	-600259.3523244224	-1137032.6402415931	4.718907634083328	10
-609203.1129880808	-1142348.9288669266	-610001.3467739299	-1135378.4604725093	7.595989279059458	11
-616813.5688525774	-1145651.2080328278	-610081.9562353343	-1143093.1086322628	7.595909803542368	12
-608867.5152052157	-1143563.8906227797	-605927.9550415315	-1144597.5645602606	3.404012332711911	13
-610081.9562353343	-1143093.1086322628	-609489.866277881	-1142788.9745930955	0.711934136206298	14
-605927.9550415315	-1144597.5645602606	-600452.0128138103	-1144435.5039546713	6.289197743750114	15
-609489.866277881	-1142788.9745930955	-608867.5152052157	-1143563.8906227797	0.998149344285453	16
-600465.4736264534	-1144765.760369733	-597011.3286939561	-1146034.8580442816	3.692878188663959	17
-597011.3286939561	-1146034.8580442816	-595852.5801717973	-1145984.6907821223	1.302445857138028	18
-606332.0879796445	-1146332.626202602	-605927.9550415315	-1144597.5645602606	1.792650258153346	19
-604314.5066070966	-1139140.336153753	-604767.5194867365	-1138204.8319394737	1.221611415117399	20
-605927.9550415315	-1144597.5645602606	-604314.5066070966	-1139140.336153753	6.620754938942272	21
-596476.0303215199	-1148068.3075819127	-597011.3286939561	-1146034.8580442816	2.649802379321354	22
-593689.3393080942	-1142695.378245823	-593848.7997774667	-1142726.1405289955	0.162723076190453	23
-593914.6211169325	-1142747.482775353	-594331.4388431535	-1145056.5306866355	3.089852679508824	24
-593848.7997774667	-1142726.1405289955	-593914.6211169325	-1142747.482775353	0.069194943519262	25
-621759.6293381713	-1144530.6698133163	-620139.5894099995	-1142835.8702936657	2.346412852248793	26
-620139.5894099995	-1142835.8702936657	-614786.098755125	-1140601.9357600212	6.939760005175698	27
-620139.5894099995	-1142835.8702936657	-621575.3004605471	-1141323.4127913415	2.208304131148791	28
-603123.554289043	-1148689.5028250553	-602530.1364984252	-1148710.2707364224	0.646965076957566	29
-611234.3414959908	-1141012.6750348248	-611108.375810232	-1141474.0045086518	0.479533663652522	30
-612080.6603395529	-1140752.3149611652	-611359.4515291341	-1140697.822462339	0.723264530206	31
-606332.0879796445	-1146332.626202602	-603123.554289043	-1148689.5028250553	4.017895788577003	32
-608866.3164184354	-1144171.4350634739	-608773.2179212868	-1144307.289998006	0.164693331401352	33
-609009.3556917347	-1143962.7034970932	-608866.3164184354	-1144171.4350634739	0.253039721209398	34
-611359.4515291341	-1140697.822462339	-611234.3414959908	-1141012.6750348248	0.338798852999902	35
-610779.6345987953	-1141943.698772613	-610081.9562353343	-1143093.1086322628	1.344581021843587	36
-610081.9562353343	-1143093.1086322628	-609009.3556917347	-1143962.7034970932	1.382040686539005	37
-608773.2179212868	-1144307.289998006	-606332.0879796445	-1146332.626202602	3.286129928229173	38
-611108.375810232	-1141474.0045086518	-610779.6345987953	-1141943.698772613	0.573309240894374	39
-609009.3556917347	-1143962.7034970932	-608867.5152052157	-1143563.8906227797	0.425942230682461	40
-610556.3778926879	-1145528.0371879116	-608773.2179212868	-1144307.289998006	2.182853199546378	41
-610556.3778926879	-1145528.0371879116	-610887.4442091435	-1146324.7882500142	0.961492577811842	42
-610779.6345987953	-1141943.698772613	-611108.375810232	-1141474.0045086518	0.734738883280924	43
-603121.3247027956	-1149046.1107213646	-603123.554289043	-1148689.5028250553	0.356614866158173	44
-616813.5688525774	-1145651.2080328278	-612834.1242850237	-1149553.3716276512	6.600892078679858	45
-612834.1242850237	-1149553.3716276512	-609531.0998282321	-1150480.1890470237	3.792013063280931	46
-612080.6603395529	-1140752.3149611652	-614485.4267912172	-1140327.4231920838	2.483872598133946	47
-614485.4267912172	-1140327.4231920838	-614786.098755125	-1140601.9357600212	0.442873817830496	48
-617682.2280874625	-1139405.772517532	-620560.1339399181	-1137653.4193581678	3.430672722306912	49
-614786.098755125	-1140601.9357600212	-617682.2280874625	-1139405.772517532	3.351726943966241	50
-620408.8360472657	-1140751.3407395408	-617682.2280874625	-1139405.772517532	3.740021082647544	51
-614485.4267912172	-1140327.4231920838	-617240.9998144545	-1136450.000006862	5.09595865595187	52
-624805.7042827868	-1141176.8711048737	-623976.874804087	-1137676.2373433523	3.783068734609551	53
-628513.4450930767	-1142136.7186360992	-626689.9704374634	-1136946.0020963214	5.64306947548366	54
-610887.4442091435	-1146324.7882500142	-612834.1242850237	-1149553.3716276512	5.860642427977174	55
-621575.3004605471	-1141323.4127913415	-620408.8360472657	-1140751.3407395408	1.803119011564433	56
-594021.5080194399	-1099372.9648986422	-597454.0159419887	-1096551.7476036437	4.551385891255562	57
-599499.6134766786	-1094031.2370225228	-600059.3567966335	-1094050.3835594952	0.564479515881149	58
