3	2174.716288819515739	-600864.983246468	-1146881.299298551	-600465.4736264534	-1144765.760369733	0
3	5801.223147252566378	-598905.6856123284	-1141027.1924911402	-597064.441496592	-1135893.4149181806	1
3	3831.619636390453252	-600425.7018450944	-1144292.6415744536	-598905.6856123284	-1141027.1924911402	2
3	145.265022480439086	-600452.0128138103	-1144435.5039546713	-600425.7018450944	-1144292.6415744536	3
3	330.530623643845047	-600465.4736264534	-1144765.760369733	-600452.0128138103	-1144435.5039546713	4
4	1489.644952869032295	-593066.9681537859	-1144045.6366665326	-593689.3393080942	-1142695.378245823	5
4	4949.553339273545134	-593689.3393080942	-1142695.378245823	-593874.7822803482	-1137813.5984011143	6
5	10659.505798721775136	-593689.3393080942	-1142695.378245823	-586982.4031884484	-1137502.1722807996	7
4	525.231082791866584	-609489.866277881	-1142788.9745930955	-609203.1129880808	-1142348.9288669266	8
4	6278.873267456034228	-609203.1129880808	-1142348.9288669266	-604767.5194867365	-1138204.8319394737	9
5	4718.907634083328048	-598905.6856123284	-1141027.1924911402	-600259.3523244224	-1137032.6402415931	10
5	7595.989279059456749	-609203.1129880808	-1142348.9288669266	-610001.3467739299	-1135378.4604725093	11
4	7595.909803542365808	-616813.5688525774	-1145651.2080328278	-610081.9562353343	-1143093.1086322628	12
4	3404.012332711910858	-608867.5152052157	-1143563.8906227797	-605927.9550415315	-1144597.5645602606	13
4	711.934136206297808	-610081.9562353343	-1143093.1086322628	-609489.866277881	-1142788.9745930955	14
4	6289.197743750113659	-605927.9550415315	-1144597.5645602606	-600452.0128138103	-1144435.5039546713	15
4	998.149344285452912	-609489.866277881	-1142788.9745930955	-608867.5152052157	-1143563.8906227797	16
4	3692.878188663959008	-600465.4736264534	-1144765.760369733	-597011.3286939561	-1146034.8580442816	17
4	1302.445857138028032	-597011.3286939561	-1146034.8580442816	-595852.5801717973	-1145984.6907821223	18
5	1792.650258153345703	-606332.0879796445	-1146332.626202602	-605927.9550415315	-1144597.5645602606	19
5	1221.611415117399247	-604314.5066070966	-1139140.336153753	-604767.5194867365	-1138204.8319394737	20
5	6620.754938942271110	-605927.9550415315	-1144597.5645602606	-604314.5066070966	-1139140.336153753	21
5	2649.802379321353783	-596476.0303215199	-1148068.3075819127	-597011.3286939561	-1146034.8580442816	22
5	162.723076190453128	-593689.3393080942	-1142695.378245823	-593848.7997774667	-1142726.1405289955	23
5	3089.852679508823712	-593914.6211169325	-1142747.482775353	-594331.4388431535	-1145056.5306866355	24
5	69.194943519262083	-593848.7997774667	-1142726.1405289955	-593914.6211169325	-1142747.482775353	25
5	2346.412852248792660	-621759.6293381713	-1144530.6698133163	-620139.5894099995	-1142835.8702936657	26
5	6939.760005175697188	-620139.5894099995	-1142835.8702936657	-614786.098755125	-1140601.9357600212	27
5	2208.304131148790475	-620139.5894099995	-1142835.8702936657	-621575.3004605471	-1141323.4127913415	28
4	646.965076957565770	-603123.554289043	-1148689.5028250553	-602530.1364984252	-1148710.2707364224	29
4	479.533663652521454	-611234.3414959908	-1141012.6750348248	-611108.375810232	-1141474.0045086518	30
4	723.264530205999563	-612080.6603395529	-1140752.3149611652	-611359.4515291341	-1140697.822462339	31
4	4017.895788577002804	-606332.0879796445	-1146332.626202602	-603123.554289043	-1148689.5028250553	32
4	164.693331401351998	-608866.3164184354	-1144171.4350634739	-608773.2179212868	-1144307.289998006	33
4	253.039721209397698	-609009.3556917347	-1143962.7034970932	-608866.3164184354	-1144171.4350634739	34
4	338.798852999902181	-611359.4515291341	-1140697.822462339	-611234.3414959908	-1141012.6750348248	35
4	1344.581021843586541	-610779.6345987953	-1141943.698772613	-610081.9562353343	-1143093.1086322628	36
4	1382.040686539004582	-610081.9562353343	-1143093.1086322628	-609009.3556917347	-1143962.7034970932	37
4	3286.129928229172947	-608773.2179212868	-1144307.289998006	-606332.0879796445	-1146332.626202602	38
4	573.309240894374057	-611108.375810232	-1141474.0045086518	-610779.6345987953	-1141943.698772613	39
5	425.942230682461059	-609009.3556917347	-1143962.7034970932	-608867.5152052157	-1143563.8906227797	40
5	2182.853199546378164	-610556.3778926879	-1145528.0371879116	-608773.2179212868	-1144307.289998006	41
5	961.492577811842125	-610556.3778926879	-1145528.0371879116	-610887.4442091435	-1146324.7882500142	42
4	734.738883280923801	-610779.6345987953	-1141943.698772613	-611108.375810232	-1141474.0045086518	43
